route_key,route_name,source_file,last_updated
sendaiTozaiLine,仙台市地下鉄東西線,tohoku-lines.ts,2026-05-18
jrSensekiLine,JR仙石線,tohoku-lines.ts,2026-05-18
jrSanyoMainLine,JR山陽本線,jr-regional-lines.ts,2026-05-18
jrShizuokaLine,JR東海道本線（静岡〜浜松）,jr-regional-lines.ts,2026-05-18
jrChuoNagoyaLine,JR中央本線（名古屋〜塩尻）,jr-regional-lines.ts,2026-05-18
jrSaninMainLine,JR山陰本線,jr-regional-lines.ts,2026-05-18
jrNagasakiMainLine,JR長崎本線,kyushu-lines.ts,2026-05-18
nagasakiTram,長崎市電,kyushu-lines.ts,2026-05-18
jrHohibMainLine,JR豊肥本線,kyushu-lines.ts,2026-05-18
jrNippoMainLineNorth,JR日豊本線（小倉〜大分）,kyushu-lines.ts,2026-05-18
kumamotoTram,熊本市電,kyushu-lines.ts,2026-05-18
shizuokaRailway,静岡鉄道,chubu-lines.ts,2026-05-18
enshuRailway,遠州鉄道,chubu-lines.ts,2026-05-18
jrIidaLine,JR飯田線,chubu-lines.ts,2026-05-18
nagoyaTsurumai,名古屋市営地下鉄鶴舞線,chubu-lines.ts,2026-05-18
nagoyaSakuradori,名古屋市営地下鉄桜通線,chubu-lines.ts,2026-05-18
jrHamamatsuToyohashi,JR東海道本線（浜松〜豊橋）,chubu-lines.ts,2026-05-18
aichiLoopRailway,愛知環状鉄道,chubu-lines.ts,2026-05-18
jrHakodateLineHakodate,JR函館本線（函館〜小樽）,hokkaido-lines.ts,2026-05-18
jrSoyaMainLine,JR宗谷本線,hokkaido-lines.ts,2026-05-18
jrSekihokuMainLine,JR石北本線,hokkaido-lines.ts,2026-05-18
jrHanasakiLine,JR花咲線,hokkaido-lines.ts,2026-05-18
jrYosanLine,JR予讃線,sanin-shikoku-lines.ts,2026-05-18
jrDosanLine,JR土讃線,sanin-shikoku-lines.ts,2026-05-18
iyotetsuTram,伊予鉄道市内電車,sanin-shikoku-lines.ts,2026-05-18
jrKotokuLine,JR高徳線,sanin-shikoku-lines.ts,2026-05-18
jrTokushimaLine,JR徳島線,sanin-shikoku-lines.ts,2026-05-18
jrYamatoji,JR大和路線,kansai-more-lines.ts,2026-05-18
jrGakkenLine,JR学研都市線,kansai-more-lines.ts,2026-05-18
kintetsuKyotoLine,近鉄京都線,kansai-more-lines.ts,2026-05-18
nankaMainLine,南海本線,kansai-more-lines.ts,2026-05-18
nankaKoyaLine,南海高野線,kansai-more-lines.ts,2026-05-18
jrKagoshimaMainLineSouth,JR鹿児島本線（熊本〜鹿児島中央）,kyushu-more-lines.ts,2026-05-18
kagoshimaTram,鹿児島市電,kyushu-more-lines.ts,2026-05-18
jrIbusukinMakurazakiLine,JR指宿枕崎線,kyushu-more-lines.ts,2026-05-18
jrSaseboLine,JR佐世保線,kyushu-more-lines.ts,2026-05-18
nishitetsuKaizukaLine,西鉄貝塚線,kyushu-more-lines.ts,2026-05-18
kumamotoElecRailway,熊本電気鉄道,kyushu-more-lines.ts,2026-05-18
jrYamagataShinkansen,JR山形新幹線,tohoku-more-lines.ts,2026-05-18
jrAkitaShinkansen,JR秋田新幹線,tohoku-more-lines.ts,2026-05-18
jrOuMainLineAkita,JR奥羽本線（秋田〜青森）,tohoku-more-lines.ts,2026-05-18
jrJobanLineNorth,JR常磐線（いわき〜仙台）,tohoku-more-lines.ts,2026-05-18
jrBanetsusaiLine,JR磐越西線,tohoku-more-lines.ts,2026-05-18
jrShinetsuLine,JR信越本線,tohoku-more-lines.ts,2026-05-18
jrMitoLine,JR水戸線,kanto-more-lines.ts,2026-05-18
jrJobanLineMain,JR常磐線（上野〜いわき）,kanto-more-lines.ts,2026-05-18
jrNikkoLine,JR日光線,kanto-more-lines.ts,2026-05-18
kantetsJososen,関東鉄道常総線,kanto-more-lines.ts,2026-05-18
chichibuRailway,秩父鉄道,kanto-more-lines.ts,2026-05-18
jrSeikanTunnel,JR海峡線（青函トンネル）,jr-more-regional.ts,2026-05-18
jrUetsuMainLine,JR羽越本線,jr-more-regional.ts,2026-05-18
jrKitakamiLine,JR北上線,jr-more-regional.ts,2026-05-18
jrKamaishiLine,JR釜石線,jr-more-regional.ts,2026-05-18
jrTsugaRuLine,JR津軽線,jr-more-regional.ts,2026-05-18
jrGonoLine,JR五能線,jr-more-regional.ts,2026-05-18
jrRikuuEastLine,JR陸羽東線,jr-more-regional.ts,2026-05-18
jrSaninMainLineWest,JR山陰本線（西部）,chugoku-kyushu-lines.ts,2026-05-18
jrYamaguchiLine,JR山口線,chugoku-kyushu-lines.ts,2026-05-18
hiroshimaTram,広島電鉄,chugoku-kyushu-lines.ts,2026-05-18
jrKabeLine,JR可部線,chugoku-kyushu-lines.ts,2026-05-18
jrUnoline,JR宇野線（瀬戸大橋線）,chugoku-kyushu-lines.ts,2026-05-18
jrKureLine,JR呉線,chugoku-kyushu-lines.ts,2026-05-18
okayamaTram,岡山電気軌道,chugoku-kyushu-lines.ts,2026-05-18
jrMurotozakiLine,JR土讃線（高知付近）,chugoku-kyushu-lines.ts,2026-05-18
jrBiwako,JR琵琶湖線,kinki-more-lines.ts,2026-05-18
jrOsakaLoop,JR大阪環状線,kinki-more-lines.ts,2026-05-18
kintetsuMinamiOsakaLine,近鉄南大阪線,kinki-more-lines.ts,2026-05-18
jrKosaiLine,JR湖西線,kinki-more-lines.ts,2026-05-18
jrKusatsuLine,JR草津線,kinki-more-lines.ts,2026-05-18
osakaChangbori,大阪メトロ長堀鶴見緑地線,osaka-metro-more.ts,2026-05-18
osakaImazatosuji,大阪メトロ今里筋線,osaka-metro-more.ts,2026-05-18
hankyuTakarazukaLine,阪急宝塚線,osaka-metro-more.ts,2026-05-18
kobeSeishinYamate,神戸市営地下鉄西神・山手線,osaka-metro-more.ts,2026-05-18
kobeKaigan,神戸市営地下鉄海岸線,osaka-metro-more.ts,2026-05-18
kintetsuKasharaLine,近鉄橿原線,osaka-metro-more.ts,2026-05-18
jrChikuhiLine,JR筑肥線,kyushu-okinawa-lines.ts,2026-05-18
jrOmuraLine,JR大村線,kyushu-okinawa-lines.ts,2026-05-18
shimabaraRailway,島原鉄道,kyushu-okinawa-lines.ts,2026-05-18
okinawaMonorail,沖縄都市モノレール（ゆいレール）,kyushu-okinawa-lines.ts,2026-05-18
jrNichinanLine,JR日南線,kyushu-okinawa-lines.ts,2026-05-18
jrNippoMainLineSouth,JR日豊本線（大分〜鹿児島）,kyushu-okinawa-lines.ts,2026-05-18
toyamaChihoMainLine,富山地方鉄道本線,hokuriku-lines.ts,2026-05-18
echizentetsudoKatsuyamaLine,えちぜん鉄道勝山永平寺線,hokuriku-lines.ts,2026-05-18
fukuiRailwayFukubuLine,福井鉄道福武線,hokuriku-lines.ts,2026-05-18
hokurikuTetsudoIshikawaLine,北陸鉄道石川線,hokuriku-lines.ts,2026-05-18
jrHokurikuKanazawaToToyama,JR北陸本線（金沢〜富山）,hokuriku-lines.ts,2026-05-18
toyamaLightRail,富山ライトレール,hokuriku-lines.ts,2026-05-18
jrMuroranMainLine,JR室蘭本線,hokkaido-more-lines.ts,2026-05-18
jrNemuroMainLine,JR根室本線,hokkaido-more-lines.ts,2026-05-18
jrHidakaMainLine,JR日高本線,hokkaido-more-lines.ts,2026-05-18
jrFuranoLine,JR富良野線,hokkaido-more-lines.ts,2026-05-18
sapporoShiden,札幌市電,hokkaido-more-lines.ts,2026-05-18
kotohiraLine,高松琴平電気鉄道琴平線,shikoku-more-lines.ts,2026-05-18
jrMugiLine,JR牟岐線,shikoku-more-lines.ts,2026-05-18
tosaCuroshioAsaLine,土佐くろしお鉄道阿佐線,shikoku-more-lines.ts,2026-05-18
tosaCuroshioNahariLine,土佐くろしお鉄道ごめん・なはり線,shikoku-more-lines.ts,2026-05-18
jrYodoLine,JR予土線,shikoku-more-lines.ts,2026-05-18
jrHanwaLine,JR阪和線,jr-kinki-more.ts,2026-05-18
jrNaraLine,JR奈良線,jr-kinki-more.ts,2026-05-18
jrKansaiMainLine,JR関西本線（加茂〜亀山）,jr-kinki-more.ts,2026-05-18
wakayamaDenwKishiLine,和歌山電鐵貴志川線,jr-kinki-more.ts,2026-05-18
nankaAirportLine,南海空港線,jr-kinki-more.ts,2026-05-18
toyamaTramLoop,富山市内電車環状線,chubu-private-lines.ts,2026-05-18
manyoLine,万葉線,chubu-private-lines.ts,2026-05-18
toyohashiTramLine,豊橋鉄道東田本線,chubu-private-lines.ts,2026-05-18
meitetsuTokonameLine,名鉄常滑線,chubu-private-lines.ts,2026-05-18
meitetsuInuyamaLine,名鉄犬山線,chubu-private-lines.ts,2026-05-18
kintetsuNagoyaLine,近鉄名古屋線,chubu-private-lines.ts,2026-05-18
aoimoriRailway,青い森鉄道,tohoku-private-lines.ts,2026-05-18
igrIwateGinga,IGRいわて銀河鉄道,tohoku-private-lines.ts,2026-05-18
jrKamaishiLine2,JR釜石線,tohoku-private-lines.ts,2026-05-18
sanrikuRiasLine,三陸鉄道リアス線,tohoku-private-lines.ts,2026-05-18
konantetsudoKonanLine,弘南鉄道弘南線,tohoku-private-lines.ts,2026-05-18
